solution_id,SOURCE_ID,pf,pf_error,p1_o,p1_o_error,epoch_g,epoch_g_error,epoch_bp,epoch_bp_error,epoch_rp,epoch_rp_error,epoch_rv,epoch_rv_error,int_average_g,int_average_g_error,int_average_bp,int_average_bp_error,int_average_rp,int_average_rp_error,average_rv,average_rv_error,peak_to_peak_g,peak_to_peak_g_error,peak_to_peak_bp,peak_to_peak_bp_error,peak_to_peak_rp,peak_to_peak_rp_error,peak_to_peak_rv,peak_to_peak_rv_error,metallicity,metallicity_error,r21_g,r21_g_error,r31_g,r31_g_error,phi21_g,phi21_g_error,phi31_g,phi31_g_error,num_clean_epochs_g,num_clean_epochs_bp,num_clean_epochs_rp,num_clean_epochs_rv,zp_mag_g,zp_mag_bp,zp_mag_rp,num_harmonics_for_p1_g,num_harmonics_for_p1_bp,num_harmonics_for_p1_rp,num_harmonics_for_p1_rv,reference_time_g,reference_time_bp,reference_time_rp,reference_time_rv,fund_freq1,fund_freq1_error,fund_freq2,fund_freq2_error,fund_freq1_harmonic_ampl_g,fund_freq1_harmonic_ampl_g_error,fund_freq1_harmonic_phase_g,fund_freq1_harmonic_phase_g_error,fund_freq1_harmonic_ampl_bp,fund_freq1_harmonic_ampl_bp_error,fund_freq1_harmonic_phase_bp,fund_freq1_harmonic_phase_bp_error,fund_freq1_harmonic_ampl_rp,fund_freq1_harmonic_ampl_rp_error,fund_freq1_harmonic_phase_rp,fund_freq1_harmonic_phase_rp_error,fund_freq1_harmonic_ampl_rv,fund_freq1_harmonic_ampl_rv_error,fund_freq1_harmonic_phase_rv,fund_freq1_harmonic_phase_rv_error,best_classification,g_absorption,g_absorption_error
375316653866487565,5817601273390552320,,,0.3205427251555747,6.3773007e-07,1704.8118654439902,9.0188655e-07,1704.809645985277,9.207329e-07,1704.8167822838886,1.2549635e-06,,,14.686652,0.0016431756,14.915564,0.0019295943,14.300334,0.0015182359,,,0.34267807,0.0047799256,0.41417107,0.0065415213,0.25307482,0.0043650623,,,-0.9503756,0.28961325,0.085984305,0.011846521,0.06711301,0.01248327,4.9091067,0.13819419,4.068355,0.19040377,91,89,88,,14.692512,14.924822,14.302843,3,3,3,,1705.6965633654197,1705.6969061588786,1705.6969934674207,,3.1197089234037434,6.2067616e-06,,,"[0.1733410507440567 0.014904609881341457 0.011633439920842648 -- -- -- --
 -- -- -- -- -- -- -- -- --]","[0.0019695404917001724 0.002029574941843748 0.0021773206535726786 -- -- --
 -- -- -- -- -- -- -- -- -- --]","[1.6211657524108887 1.868253231048584 2.648667097091675 0.0 0.0 0.0 0.0
 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]","[0.026088200509548187 0.14693981409072876 0.19208507239818573 -- -- -- --
 -- -- -- -- -- -- -- -- --]","[0.21174518764019012 0.01613668166100979 0.012655830942094326 -- -- -- --
 -- -- -- -- -- -- -- -- --]","[0.0023313667625188828 0.002816168125718832 0.0032599198166280985 -- -- --
 -- -- -- -- -- -- -- -- -- --]","[1.6287034749984741 1.8844072818756104 2.487523078918457 0.0 0.0 0.0 0.0
 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]","[0.025858387351036072 0.15790525078773499 0.2329636961221695 -- -- -- --
 -- -- -- -- -- -- -- -- --]","[0.1246124729514122 0.009744646027684212 0.0064590563997626305 -- -- -- --
 -- -- -- -- -- -- -- -- --]","[0.0021048663184046745 0.0026738254819065332 0.0027152590919286013 -- --
 -- -- -- -- -- -- -- -- -- -- --]","[1.5491862297058105 1.7810848951339722 2.996691942214966 0.0 0.0 0.0 0.0
 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]","[0.031037773936986923 0.22584252059459686 0.6973686218261719 -- -- -- --
 -- -- -- -- -- -- -- -- --]",,,,,RRc,,
375316653866487565,5817603678572333312,,,0.2973506601667395,7.3649176e-07,1705.0181151868073,1.0415566e-06,1705.0068173673599,1.9343631e-06,1705.0217665833356,2.3726761e-06,,,14.995106,0.0013497298,15.190781,0.0036138787,14.627777,0.0045674494,,,0.38604292,0.004972881,0.4494642,0.014870479,0.28127664,0.015518773,,,-1.2039448,0.2451533,0.12423313,0.0073709125,0.08152444,0.010128515,4.641276,0.084895834,3.2817678,0.07926081,83,84,83,,15.003517,15.203152,14.631283,5,3,1,,1705.6966693933077,1705.6969628548782,1705.697050809449,,3.3630327218350535,8.329714e-06,,,"[0.20012640953063965 0.02486232854425907 0.016315193846821785
 0.008782935328781605 0.008875618688762188 -- -- -- -- -- -- -- -- -- --
 --]","[0.0017360714264214039 0.0014901532558724284 0.002043472370132804
 0.0017616008408367634 0.0015603702049702406 -- -- -- -- -- -- -- -- -- --
 --]","[4.804040908813477 1.6829873323440552 5.127520561218262 2.631793737411499
 5.677286624908447 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]","[0.018927548080682755 0.12163420766592026 0.09619977325201035
 0.23962810635566711 0.22096043825149536 -- -- -- -- -- -- -- -- -- -- --]","[0.2395201176404953 0.01848565973341465 0.025007326155900955 -- -- -- --
 -- -- -- -- -- -- -- -- --]","[0.005482624284923077 0.004974981304258108 0.005007131956517696 -- -- --
 -- -- -- -- -- -- -- -- -- --]","[4.768074989318848 1.538272500038147 4.892969131469727 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]","[0.04213506728410721 0.2853330373764038 0.2274625301361084 -- -- -- -- --
 -- -- -- -- -- -- -- --]",[0.14063900709152222 -- -- -- -- -- -- -- -- -- -- -- -- -- -- --],[0.0047788238152861595 -- -- -- -- -- -- -- -- -- -- -- -- -- -- --],"[4.8412017822265625 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0]",[0.10593275725841522 -- -- -- -- -- -- -- -- -- -- -- -- -- -- --],,,,,RRc,,
375316653866487565,5817609691526569344,,,0.302407380335445,3.9772976e-07,1704.813328546779,5.6247484e-07,1704.812433437012,6.656519e-07,1704.8209795915336,3.7017335e-06,,,14.667402,0.0006956954,14.856803,0.00088382995,14.325164,0.0051393663,,,0.217654,0.0020001142,0.25991336,0.0024476815,0.13926297,0.014567216,,,,,0.087702006,0.009205295,,,4.8002257,0.06938099,,,83,84,84,,14.668793,14.859288,14.325081,2,2,1,,1705.696660504739,1705.696975015163,1705.6970631851977,,3.306797601602022,4.349139e-06,,,"[0.10724662989377975 0.009405744262039661 -- -- -- -- -- -- -- -- -- -- --
 -- -- --]","[0.000893683114554733 0.0009539789170958102 -- -- -- -- -- -- -- -- -- --
 -- -- -- --]","[2.477658987045288 3.472358465194702 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0 0.0 0.0]","[0.01131230778992176 0.07990891486406326 -- -- -- -- -- -- -- -- -- -- --
 -- -- --]","[0.1280849426984787 0.011219060979783535 -- -- -- -- -- -- -- -- -- -- --
 -- -- --]","[0.001078956644050777 0.001010158914141357 -- -- -- -- -- -- -- -- -- --
 -- -- -- --]","[2.49875545501709 3.548008680343628 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0 0.0 0.0]","[0.016340214759111404 0.10618473589420319 -- -- -- -- -- -- -- -- -- -- --
 -- -- --]",[0.06963179260492325 -- -- -- -- -- -- -- -- -- -- -- -- -- -- --],[0.008583023212850094 -- -- -- -- -- -- -- -- -- -- -- -- -- -- --],"[2.497401714324951 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0]",[0.1496620923280716 -- -- -- -- -- -- -- -- -- -- -- -- -- -- --],,,,,RRc,,
